idx,n,steps,in,out,epsilon,sigma,eW,truth,tNoise,tBias,dual,tA,tB,envA,prefA,shockT,shockΔ,bfθ,bfp,bfGain,CA,EA,seed,avg,std,delta,mae,tt_converge
49,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,0.3,0,0.6503282772193164,0.006041655086735641,0.02259900743720633,0.1996717227806836,81
50,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,0.3,1,0.6483196087070531,0.005678698485124683,0.023301911530420938,0.20168039129294713,83
51,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,0.8,0,0.6483614931903339,0.005939842391871778,0.025259364061426703,0.2016385068096665,80
52,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,0.8,1,0.6490316213319128,0.005842399782978922,0.024794161894646893,0.2009683786680872,82
53,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,N(0.6,0,0.6495290568980246,0.00610836074992526,0.023871195313559967,0.20047094310197558,81
54,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,N(0.6,1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
55,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,0.15),0,0.6481882882956859,0.005848225996541796,0.02310411300465709,0.20181171170431372,82
56,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,U(0.4,0.15),1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
57,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),0.3,0,0.6509454393881983,0.005862716195598705,0.02553577005774066,0.1990545606118018,80
58,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),0.3,1,0.6483196087070531,0.005678698485124683,0.023301911530420938,0.20168039129294713,83
59,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),0.8,0,0.6518056846353503,0.005807129018750593,0.0230961196694911,0.1981943153646492,85
60,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),0.8,1,0.6490316213319128,0.005842399782978922,0.024794161894646893,0.2009683786680872,82
61,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),N(0.6,0,0.6481312002870057,0.005580761293746708,0.023501967265323387,0.20186879971299465,82
