idx,n,steps,inTrust,outTrust,epsilon,sigma,evidenceWeight,truth,CA_spec,EA_spec,avg,std,delta
82,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.3,0.8,0.7000406761481721,0.024656611758594293,0.1268776616680214
83,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.3,N(0.6,0.7052038950692507,0.03262678892269682,0.18218330487109025
84,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.3,0.15),0.6953414674054603,0.029228957664972913,0.2304400812140246
85,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.6,0.3,0.6948221124678391,0.01579239936690576,0.10551191163506624
86,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.6,0.8,0.7019256143284494,0.01576357971539809,0.08149270840017453
87,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.6,N(0.6,0.704083710320235,0.01584727055445748,0.10404744955677048
88,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.6,0.15),0.6966951675027865,0.014705172883910246,0.08434072180768393
89,200,365,1.2,0.4,0.02,0.01,0.02,0.7,U(0.4,0.3,0.7022004433337365,0.017454947649152203,0.10383054082294774
90,200,365,1.2,0.4,0.02,0.01,0.02,0.7,U(0.4,0.8,0.6970227505118274,0.0170056765514275,0.10085686892414303
91,200,365,1.2,0.4,0.02,0.01,0.02,0.7,U(0.4,N(0.6,0.7020288562219075,0.020578462757420982,0.11936611161896904
92,200,365,1.2,0.4,0.02,0.01,0.02,0.7,U(0.4,0.15),0.7014748701685959,0.017752979652892915,0.09668917819411116
93,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.9),0.3,0.6970055640005011,0.023587650627575705,0.24832646421347893
94,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.9),0.8,0.7082327221234651,0.018276313581889254,0.09400159428010735
95,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.9),N(0.6,0.697244119978703,0.019098259915372937,0.11516961116525204
96,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.9),0.15),0.7020828587795175,0.01926263830364317,0.10790109387894464
97,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.3,0.3,0.6008371953511891,0.020630145228134368,0.12444160359475276
98,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.3,0.8,0.6005122045415903,0.024368393127078752,0.14787154215209708
99,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.3,N(0.6,0.599942130719418,0.02298680165021184,0.11094182486523796
100,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.3,0.15),0.6005342001772083,0.020442522122673088,0.10138430940919274
101,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.6,0.3,0.6037781877952365,0.013816553859887807,0.09348057603273119
102,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.6,0.8,0.6016420570245006,0.014264181940864143,0.06783762491974099
103,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.6,N(0.6,0.6022663517245191,0.01427386098585227,0.08299661302461225
104,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.6,0.15),0.6007096643527492,0.014401440947403392,0.10831136730587232
105,200,365,1.2,0.4,0.02,0.01,0.05,0.6,U(0.4,0.3,0.60099936009771,0.016396981671417576,0.08976069355598482
106,200,365,1.2,0.4,0.02,0.01,0.05,0.6,U(0.4,0.8,0.5990313407969389,0.01582018048325934,0.09573410927296877
107,200,365,1.2,0.4,0.02,0.01,0.05,0.6,U(0.4,N(0.6,0.5981406274297946,0.01576562236594919,0.07991339330439784
108,200,365,1.2,0.4,0.02,0.01,0.05,0.6,U(0.4,0.15),0.5991716444090968,0.015545786490633848,0.09467128517387924
109,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.9),0.3,0.5959860765268591,0.016048667182371513,0.07554125261580635
110,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.9),0.8,0.6009451144826868,0.015126465514006291,0.08009665325787463
111,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.9),N(0.6,0.5988461054863163,0.016821252185689386,0.09370261263035884
112,200,365,1.2,0.4,0.02,0.01,0.05,0.6,0.9),0.15),0.5934365857450669,0.015696338286156773,0.08908076577650581
113,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.3,0.3,0.7012675393848238,0.020162891293919585,0.11021596285131097
114,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.3,0.8,0.7047363588168639,0.02109780750887511,0.12496765575373403
115,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.3,N(0.6,0.6994508060021251,0.020739204949428186,0.11485499316392866
116,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.3,0.15),0.7003004282379302,0.021103916567518394,0.12174574074709266
117,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.6,0.3,0.6964749201709634,0.014101858726982882,0.0853579945965327
118,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.6,0.8,0.6982654392886408,0.012970551135000723,0.07089173467813181
119,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.6,N(0.6,0.7010956279449103,0.015394242613284743,0.08974573386170215
120,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.6,0.15),0.6979966398312024,0.013315913409549157,0.07089116101607718
121,200,365,1.2,0.4,0.02,0.01,0.05,0.7,U(0.4,0.3,0.6975105298583811,0.014637415257446773,0.08959098597048043
122,200,365,1.2,0.4,0.02,0.01,0.05,0.7,U(0.4,0.8,0.6980404518194131,0.015412696751052798,0.08852021644086228
123,200,365,1.2,0.4,0.02,0.01,0.05,0.7,U(0.4,N(0.6,0.7009973610033966,0.015210618123350847,0.08860654135750756
124,200,365,1.2,0.4,0.02,0.01,0.05,0.7,U(0.4,0.15),0.7013020482463039,0.01783743771377842,0.09423284792238906
125,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.9),0.3,0.6975696324737788,0.013806602220175995,0.09234030935132376
126,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.9),0.8,0.6995342034354403,0.016327858453669266,0.10376202083853037
127,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.9),N(0.6,0.6984027604021366,0.01578264222110068,0.08179836262863738
128,200,365,1.2,0.4,0.02,0.01,0.05,0.7,0.9),0.15),0.7007100100766307,0.014602776402790594,0.08769599632429292
129,200,365,1.2,0.4,0.05,0,0.02,0.6,0.3,0.3,0.5999381545182163,1.9486707142945994e-15,4.440892098500626e-16
130,200,365,1.2,0.4,0.05,0,0.02,0.6,0.3,0.8,0.5999404824694315,2.548330679766831e-15,5.551115123125783e-16
131,200,365,1.2,0.4,0.05,0,0.02,0.6,0.3,N(0.6,0.5999439493476907,1.7117068486033566e-15,4.440892098500626e-16
132,200,365,1.2,0.4,0.05,0,0.02,0.6,0.3,0.15),0.5999434644461878,2.0545426255084263e-15,5.551115123125783e-16
133,200,365,1.2,0.4,0.05,0,0.02,0.6,0.6,0.3,0.5999319761436616,2.751875391635463e-15,6.661338147750939e-16
134,200,365,1.2,0.4,0.05,0,0.02,0.6,0.6,0.8,0.5999405828406063,2.6333006372549556e-15,9.992007221626409e-16
135,200,365,1.2,0.4,0.05,0,0.02,0.6,0.6,N(0.6,0.5999403154107485,7.258600436903297e-16,1.1102230246251565e-15
136,200,365,1.2,0.4,0.05,0,0.02,0.6,0.6,0.15),0.599940471076778,1.0619618381443586e-15,9.992007221626409e-16
137,200,365,1.2,0.4,0.05,0,0.02,0.6,U(0.4,0.3,0.5999412316121061,1.3137039694868948e-15,6.661338147750939e-16
138,200,365,1.2,0.4,0.05,0,0.02,0.6,U(0.4,0.8,0.5999365220672843,1.3456159543179859e-15,6.661338147750939e-16
139,200,365,1.2,0.4,0.05,0,0.02,0.6,U(0.4,N(0.6,0.5999402409887873,1.7646784560134928e-15,5.551115123125783e-16
140,200,365,1.2,0.4,0.05,0,0.02,0.6,U(0.4,0.15),0.5999363784503621,2.4914057736396444e-15,4.440892098500626e-16
141,200,365,1.2,0.4,0.05,0,0.02,0.6,0.9),0.3,0.599941451382247,1.855750322537291e-15,6.661338147750939e-16
142,200,365,1.2,0.4,0.05,0,0.02,0.6,0.9),0.8,0.5999484805454387,1.3212120465066802e-15,9.992007221626409e-16
143,200,365,1.2,0.4,0.05,0,0.02,0.6,0.9),N(0.6,0.5999376161766569,2.5668850930846673e-15,6.661338147750939e-16
144,200,365,1.2,0.4,0.05,0,0.02,0.6,0.9),0.15),0.5999364020637481,1.9270766308287106e-15,4.440892098500626e-16
145,200,365,1.2,0.4,0.05,0,0.02,0.7,0.3,0.3,0.6998784183152353,1.0735919794026793e-15,4.440892098500626e-16
146,200,365,1.2,0.4,0.05,0,0.02,0.7,0.3,0.8,0.6998729918474844,2.104773213531136e-15,1.2212453270876722e-15
147,200,365,1.2,0.4,0.05,0,0.02,0.7,0.3,N(0.6,0.6998702093007247,5.702268008176973e-16,6.661338147750939e-16
148,200,365,1.2,0.4,0.05,0,0.02,0.7,0.3,0.15),0.6998753579616769,3.3973731586376215e-15,5.551115123125783e-16
149,200,365,1.2,0.4,0.05,0,0.02,0.7,0.6,0.3,0.6998695997534695,2.1123433658277123e-16,6.661338147750939e-16
150,200,365,1.2,0.4,0.05,0,0.02,0.7,0.6,0.8,0.6998715175295991,1.5506600680764294e-15,8.881784197001252e-16
